measurement_source_value,count
Acute rehab,8
acyclovir,111
Acyclovir,368
acycloviv,20
acytylcisteine,67
Add Gas Flow (Vent),48
Additional Gas (lpm),356
Additional Gas(Mask),287
Additional Gas(Vent),75
adductor pillow,15
ADEK vitamins,10
Adenosine,17
adjustable flange,1
Admission location,7
Admission Weight (Kg),22604
Admission Weight (lbs.),46255
Admit from,14251
Admit Ht,41704
Admit Reason,8243
Admit Wt,41704
ADP,15
aerosol mask,2
AF-AFP,2
AF fistula T/B,1
"AFP, Maternal Screen",8
Afrin Nasal Drops,7
A GAP,1
AgeApacheIIScore,20
AgeApacheIIValue,18
AgeScore_ApacheIV,8
Aggitation,17721
Agitation,17819
AICD,12
Air evacuation NGT,31
Airleak,274
air mattress,11
Airway,378898
Airway Location,813
Airway problems,545
Airway Size,488169
Airway Size (mm),439
Airway Type,511017
Alanine Aminotransferase (ALT),219462
alarm/high minute vl,6
Alarms,546133
Alarms Activated,1604
Alarms Checked,107998
Alarms On,517205
albumin,1
<Albumin>,37
Albumin,193970
ALBUMIN,1
Albumin (>3.2),30877
Albumin  (3.9-4.8),546
Albumin_ApacheIV,4
"Albumin, Ascites",1592
"Albumin, Body Fluid",422
"Albumin/Creatinine, Urine",2165
"Albumin, Joint Fluid",1
"Albumin, Pleural",1175
AlbuminScore_ApacheIV,8
"Albumin, Urine",2381
Albuterol MDI,494
Albuterol MiniNeb,121
ALCOHOL,22
ALCOHOL 10%DRIP G/HR,98
ALCOHOL 5% DRIP G/HR,5
alcohol bath,7
ALCOHOL BATH,2
Alcohol Gm/hour,87
alcohol gtt,64
ALCOHOL GTT ML/HR,74
aldactone,325
Aldactone,760
ALDACTONE,30
"ALINE, RIGHT RADIAL",16
Alkaline Phosphatase,209498
Alkaline Phosphate,36829
Alk. Phosphate,40443
All Medications Tolerated without Adverse Side Effects,158011
Alpha Antiplasmin,4
Alpha-Fetoprotein,2779
Alsius Bath Temp,4
ALT,79012
Altepase mg/hr,11
alteplase,11
alteplase mg/hr,21
Alveolar-arterial Gradient,22016
Ambisome,16
AMBUED Q4 AND PRN,33
Ambulatory aid,272879
AMBU/NS INSTILLATION,9
Amicar cc/hr,4
Amicar mg/hr,23
Amikacin,137
AMIKACIN,900
AMIODARONE CC/HR,2
Amiodarone mg/hr,122
Amiodorone mg/hr,1
ammonia,24
Ammonia,4613
AMMONIA,9
AMMONIA/12-47 UMOL/L,1
Ammonium Biurate,17
AMONIA,1
Amorphous Crystals,6839
amoxacillin,25
Amoxacillin,74
Amoxicillan,29
amoxicillin,125
Amoxicillin,288
"Amphetamine Screen, Urine",9310
Amphotericin,122
Ampicillin,19247
AMPICILLIN,9514
AMPICILLIN/SULBACTAM,8106
Amylase,93601
"Amylase, Ascites",1059
"Amylase, Body Fluid",757
"Amylase/Creatinine Ratio, Urine",55
"Amylase, Joint Fluid",16
"Amylase, Pleural",726
"Amylase, Urine",55
Analgesic,5239
Analyzed INOV FiO2,6
Anderson,2
Anderson (gastric),4
An GAP,1
Angio Appearance # 1,32224
Angio Appearance #1 [Attribute 1],75934
Angio Appearance #1 [Attribute 2],31700
Angio Appearance # 2,6502
Angio Appearance #2 [Attribute 1],13967
Angio Appearance #2 [Attribute 2],6203
Angio Appearance # 3,102
Angio Appearance # 4,2
Angio Dressing # 1,31203
Angio Dressing #1,64870
Angio Dressing # 2,6209
Angio Dressing #2,11992
Angio Dressing # 3,98
Angio Dressing # 4,3
ANGIO FOLEY URINE,2
Angiography Output,1
angio out,9
Angio Out,2
Angio OUT,2
ANGIO OUT,7
ANGIOOUT,2
angio output,4
Angio output,2
Angio Output,4
ANGIO OUTPUT,2
Angio Site # 1,32309
Angio Site #1,96191
Angio Site # 2,6481
Angio Site #2,17195
Angio Site # 3,103
Angio Site # 4,2
angio urine,3
ANGIO URINE,4
ANGIO URINE O/P,1
angio urine out,7
ANGIO URINE OUT,6
angio urine output,4
angio Urine output,1
ANGIO URINE OUTPUT,6
Anion gap,150193
Anion Gap,769810
Anion Gap   (8-20),15516
Anisocytosis,61381
ANORECTAL/VAGINAL CULTURE,2
Anterior Fontanelle [Shape],425500
Anterior Fontanelle [Texture],426058
Antibiotic ointment,14
antibiotic ointmt.,3
Anticardiolipin Antibody IgG,514
Anticardiolipin Antibody IgM,514
Anticipated Discharge,630
Anti-DGP (IgA/IgG),11
Anti Embolic Device,478295
Anti Embolic Device Status,415201
Anti-Embolism [Device],636690
Anti-Embolism [Status],601818
"Anti-Gliadin Antibody, IgA",15
ANTI-MC,4
Anti-Mitochondrial Antibody,394
Anti-Neutrophil Cytoplasmic Antibody,794
Anti-Nuclear Antibody,2010
"Anti-Nuclear Antibody, Titer",565
Anti-Parietal Cell Antibody,16
Anti-Smooth Muscle Antibody,399
Antithrombin,326
Anti-Thyroglobulin Antibodies,266
Anxiety,35665
aorta axillary graft,2
Aortic Pressure Signal - Diastolic,30
Aortic Pressure Signal - Systolic,30
APACHE II,19
ApacheII chronic health,5
APACHEII-Chronic health points,9
APACHE II Diagnosistic weight factors - Medical,5
APACHE II Diagnosistic weight factors - Surgical,2
APACHE II Diagnosistic weight factors - Surgical emergency,1
APACHEIII,13
APACHE II PDR - Adjusted,19
APACHE II Predecited Death Rate,20
APACHEII-Renal failure,19
Apache IV A-aDO2,2
Apache IV Age,8
APACHE IV diagnosis,5
APACHE IV diagnosis choice 1,5
APACHE IV diagnosis choice 2,3
ApacheIV_LOS,13
APACHE IV main groups non-operative,2
ApacheIV_Mortality prediction,8
ApacheIV_Natural antilog,8
Apache IV PaFiRatio,7
Apgar      1 min,8243
apnea,2063
Apnea,34
APNEA,234
Apnea [Duration],930
Apnea [Existence],52321
APNEA INT.,5
Apnea Interval,455578
APNEA INTERVAL TIME,63
APNEA sec,6
apnea test,3
apnea time,81
APNEA TIME,22
apnea time interval,15
Apnea Time Interval,285028
APOTININ CC/HR,2
Appearance,34319
approtinin cc/hr,16
APPROTININ CC/HR,7
aprotamine,1
aprotanin,5
APROTANIN,6
aprotanine,4
APROTANIN ML/HR,3
Aprotiinin ml/hr,7
Aprotinen,5
aprotinen cc/hr,8
aprotinin,81
APROTININ,28
APROTININ.,4
aprotinin cc/hr,101
Aprotinin cc/hr,22
APROTININ CC/HR,160
aprotinine,11
APROTININE,8
aprotinin ml/hr,6
Aprotinin ml/hr,6
APROTININ  ML/HR,2
APROTININ ML/HR,87
APROTININ U/HR,8
APROTONIN,38
"APROTONIN 250,000U/",4
APROTONIN CC/HR,121
APROTONIN U/HR,12
APRV,53
APRV HIGH,3
APRV LOW,3
APRV Phi,11
APRV P-HI,21
aprv phigh,8
APRV P HIGH,12
APRV Plo,10
APRV P LOW,11
APRV P-LOW,21
APRV Pressure High,38
APRV Pressure Low,36
APRV T hi,10
APRV T-HI,22
APRV T HIGH,11
APRV Time High,36
APRV Time low,36
APRV T lo,10
APRV T LOW,11
APRV T-LOW,21
APS,8
APT Test,2
Aquafor,28
aquaphor,140
Aquaphor,221
Aquaphour,252
aqua tears,13
Arachadonic Acid,16
Arctic Sun/Alsius Set Temp,7092
Arctic Sun/Alsius Temp #1 C,10094
Arctic Sun/Alsius Temp #2 C,9675
Arctic Sun Temp #1 Location,11102
Arctic Sun Temp #2 Location,10471
Arctic Sun Water Temp,6982
ARF,2
ARGATROBAN,13
Argatroban mcg/kg/m,41
arm 90 degrees,35
arm drain bags,48
Arm Pouches,12
ART,38
art #3,13
ART Blood Pressure Alarm - High,4988
ART Blood Pressure Alarm - Low,5005
ART Blood Pressure Alarm Source,4916
ART BP,16
ART BP Diastolic,86334
ART BP mean,86892
ART BP Systolic,86374
Arterial Base Excess,409846
Arterial Blood Pressure Alarm - High,85795
Arterial Blood Pressure Alarm - Low,85848
Arterial Blood Pressure diastolic,1147171
Arterial Blood Pressure mean,1153245
Arterial Blood Pressure systolic,1147386
Arterial BP #2 [Diastolic],18753
Arterial BP #2 [Systolic],19165
Arterial BP #3,13
Arterial BP [Diastolic],2085994
Arterial BP Mean,2072743
Arterial BP Mean #2,18880
Arterial BP(Rad),5
Arterial BP [Systolic],2096678
Arterial CO2(Calc),279512
Arterial CO2 Pressure,140143
Arterial Line Discontinued,4728
Arterial Line Dressing Occlusive,182070
Arterial Line placed in outside facility,179249
Arterial line Site Appear,193661
Arterial Line Tip Cultured,4758
Arterial line Waveform Appear,181848
Arterial Line Zero/Calibrate,78474
arterial mean #2,1
Arterial Mean #3,13
Arterial O2 pressure,140147
Arterial O2 Saturation,39886
Arterial PaCO2,283116
Arterial PaO2,282946
Arterial pH,283997
Arterial Pressure,178
arterial pulse flap,180
ARTHROPOD,3
Artic Sun,16
artificial tears,46
Artificial tears,46
ART Lumen Volume,25637
ART MAP,14
art mean,2
ART MEAN,15
Art.pH,266847
ART R Groin,11
ART. SHEATH,21
ascites fluid draind,1
ascitic drainage,70
ascities out,1
Asparate Aminotransferase (AST),219452
ASPIRATE,422
aspirin level,4
Assess Peak Flow,6
Assistance Device,1718101
Assisted living,13
Assisted Systole,39536
Assistive Device,7
AST,78841
ASTERIXIS,14
Ataxia,20425
atc,44
ATC,355
ATC %,366
ATC on,26
ATC ON,26
ATC size,1
ATC % (size 7),11
ATC Tube #,340
aterial line,6
ATG,9
Ativan,99
Atrial Pacemaker [Capture],20735
Atrial Pacemaker [mA],48169
Atrial Pacemaker [Sense],23829
Atrial Pacemaker Sense [mA],26670
Atrial Pacemaker Sense [mV],28593
Atrial Pacemaker [Sensitivity],43950
Atrial Pacemaker Threshold [Unit],17285
Atrial Pacemaker Threshold [Value],16004
atropine,13
Atropine 1% eye drop,32
atropine drops,32
Atropine drops,35
atropine eye drops,12
Atropine eye drops,20
Atropine eye oint,12
Atropine eye oint.,41
Atropine Gtts,14
Atropine Oint.,25
Atropine Ointment,9
Atropine Opthamic,13
Atropine opth. oint,29
Atrovent MDI,47
Atr Sens Thresh mV,26577
Atr Stim Thresh mA,26431
Atypical Lymphocytes,60048
Auditory Disturbance,35061
Auditory Evokes,338
Augmented Diastole,39454
Augmentin,12
Auqafor,11
automatic tube com,26
automatic tube comp,8
automatic tube comp.,26
auto-peep,5
autopeep,14
Autopeep,2
Auto PeeP,1
AUTOPeeP,1
Auto-PEEP level,2
Auto-PEEP Level,5275
autorotation,40
Auto Rotation,12
AutoRotation,62
AUTO-ROTATION,25
Autoset/CPAP,2445
autosigh,16
Auto Tube Comp,2
AVA Dressing Occlusive,3388
AVA Line Discontinued,124
AVA Line placed in outside facility,3133
AVA Line Placement Confirmed by X-ray,3134
AVA Line Site Appear,3623
AVA Line Tip Cultured,145
AVA Line Zero/Calibrate,991
AVA Waveform Appearance,2261
avDO2,105
AvDO2,107
Aveeno bath,1
av fistula,9
AV Fistula,87
AV FISTULA,7
AV fistula bruit,13
AV FISTULA BRUIT,27
AV Fistula L Bruit,2479
AV Fistula L Thrill,2325
AV Fistula R Bruit,1253
AV Fistula R Thrill,1184
AV fistula T/B,2
AV Fistula Thrill,7
AV Interval,4517
AV THRILL,11
AZT,29
BABY BATH,8
Babygram,880
baby vitamins,16
bacitracin,108
Bacitracin,350
Bacitracin Eye Oint,36
Bacitracin nose oint,16
bacitracin oint,43
Bacitracin oint,25
Bacitracin oint.,21
Bacitracin ointment,158
BACITRACIN OINTMENT,51
Bacitracin topical,10
Back Care,618230
Back Dsg,10
Bacteria,73412
Bactoban,9
bactroban,32
Bactroban,130
bactroban oint.,13
Bactroban ointment,32
badbath,19
BAEDP,39237
BAG-->ABD TAP SITES,11
Bag and Mask Present,198627
Bag & Mask Present,679113
bair hugger,34
Bair hugger,16
BAIR HUGGER,14
baker tube/contrast,8
Bands,84291
BANDS,8247
Baptism,4
Baptize,1
Barbiturate Screen,11761
"Barbiturate Screen, Urine",9287
BariAir Auto Turn,14
Baricat taken out,2
Base Excess,500118
Base Excess (cap),8097
Base Excess (other),8435
Baseline Current/mA,17506
Basophilic Stippling,3849
Basophils,172547
Basos,8159
BASOs,5269
bath,15508
Bath,39679
Bath.,3
Bath:,13
BAth,83
BATH,7131
Bath and Shampoo,24
bath care,17
Bath Care,12
BATH CARE,11
bath demo,23
Bath demo,13
bathed,4
Bathed,78
BATHED,27
bath/ shampoo,1
bath/shampoo,27
Bath & shampoo,2
Bath + Shampoo,15
Bath+Shampoo,42
bbaaath,3
BE,5023
bear hugger,35
BEAR HUGGER,5
Beclamethasone,14
bed alarm,262
Bed alarm,8
Bed Alarm,112
BED ALARM,19
bed alarm on,5
bed alarms,5
Bed Alarms,12
Bed alarms on,6
bed bath,272
bedbath,453
Bed bath,22
Bedbath,778
Bed Bath,62229
BED BATH,103
BEDBATH,381
bed/bath linen,1
Bed bath/shaved,9
BEDBATH/SHAVED,9
bed exit alarm,5
Bed exit alarm,18
bed percussion,33
Bed Percussion,43
bed roation,47
bed rotation,880
Bed rotation,648
Bed rotation.,35
Bed Rotation,1418
Bed Rotation.,20
Bed Rotation Left,67
bed rotation on/off,12
bed rotation q2hrs.,34
Bed Rotation Right,44
Bed Rotation Right _,23
bedside observer,4
Bed side Observer,9
Behavior,597137
BehavioralIntervent,27226
Behavioral State,15058
Belly TAP,1
Benzodiazepine Screen,11823
"Benzodiazepine Screen, Urine",9328
Beta-2 Microglobulin,352
Bias Flow,2
Bicarb,12
bicarb drip 200/200,15
Bicarbonate,780648
"Bicarbonate, Ascites",43
"Bicarbonate, Other Fluid",55
"Bicarbonate, Pleural",6
"Bicarbonate, Stool",45
"Bicarbonate, Urine",1000
Bicitra,117
Bilateral hernia,31
Bilateral hernia dsg,16
BILAT HEARING AIDS,29
Bilat Ing Hernias  s,98
bilat JP to CLWS,33
BILE,931
bili,27
Bili,21
BILI,9
biliary drain,4
BILIARY DRAIN,6
biliary drain latrl,9
biliary drain medial,9
Biliary tube flush,9
"BILI, HCT. RETIC",1
bili level,16
Bili level,11
Bili & Lytes,1
BILI & LYTES,2
Bilirubin,99690
Bilirubin_ApacheIV,7
Bilirubin Crystals,83
"Bilirubin, Direct",45205
"Bilirubin, Indirect",44385
"Bilirubin, Total",238263
"Bilirubin, Total, Ascites",784
"Bilirubin, Total, Body Fluid",355
"Bilirubin, Total, CSF",3
"Bilirubin, Total, Pleural",84
BiliScore_ApacheIV,8
Billed,2
bil leg drsgs,11
binder,37
BINDER,28
BIOPSY,76
BIPAP - BPM,820
BiPap bpm (S/T -Back up),133
BiPap EPAP,1842
BIPAP - EPAP,3165
BIPAP - Est. Vt,413
BIpap FIO2,3
BiPap IPAP,1557
BIPAP - IPAP,2620
Bipap mask,11
BiPap Mask,2212
BiPap Mode,1915
BIPAP-Mode,2880
BiPap O2 Flow,1832
BIPAP - O2 lpm,2844
Birthweight (kg),8243
Birth Weight    (kg),435385
BIS - EMG,212
BIS Index Range,220
BIS - SQI,202
Bite Cells,1287
Bivaliruden,75
bivalirudin,27
Bivalirudin,108
bivalirudin mg/hr,8
Bivalirudin mg/kg/hr,12
Bivona mark,68
Bivona positin 10,41
Bivona secured at 8,3
bivona trach measure,23
Bladder cath,3
bladder irrig. 60cc,3
Bladder Irrigation,3721
bladder irrig/urine,2
bladder pres.,1
BLADDER PRES.mm/Hg,59
bladder pressure,310
Bladder pressure,52
Bladder Pressure,8378
BLADDER PRESSURE,182
BLADDER PRESSURE.,1
bladder pressures,24
bladder pse.,6
BLADDER SCAN AMOUNT,1
bladder scanner,2
Blakemore,39
Blasts,3479
bld pres,16
bleedig at meatus,13
Bleeding Time,60
Blink Reflex [Left],58
Blink Reflex [Right],58
Blocked tear duct,10
Blood,99726
BLOOD,2
BLOOD BAG FLUID,1
Blood (CMV AB),879
BLOOD CULTURE,123672
Blood Culture Hold,188
BLOOD CULTURE ( MYCO/F LYTIC BOTTLE),5617
BLOOD CULTURE - NEONATE,8376
BLOOD CULTURE (POST-MORTEM),12
blood cultures,4
Blood Cultures,5059
BLOOD CULTURES,2
Blood (EBV),831
Blood emesis,2
Blood Flow (ml/min),57760
Blood Flow ml/min,58962
blood from mouth,10
Blood Glucose,533
BloodGlucose,2655
Blood (Malaria),15
"Blood, Occult",224
blood out,18
Blood out,2
Blood Out,1
Blood Out Lab,11471
Blood Parasite Smear,473
Blood Products,22972
blood removed...,1
Blood Temperature CCO (C),61592
Blood (Toxo),400
Blood Transfusion Consent,2828
BLOWDRY RT THIGH,48
Blue Top Hold,21880
Blue Top Hold Frozen,9
BM 20 FS NG,9
BM20 G-tube,22
BM20NG+thick&easy,12
BM20PO+thick&easy,61
BM22 NG,7
bm22 pg,4
BM24NEOSURE,1
"BM24 w/neosure, GT",28
BM24 w/neosure NG,7
BM24 w/neosure PO,14
BM24 w/nsp,20
BM26 (4HMF + 2MCT),2
BM26(4 neosure 2 MCT,2
BM26(6cal Neosure),10
"BM26 w/enfacare, GT",21
BM26 with enfamil p.,3
BM 26 with neocate,20
BM28 4Enf Powd 4 MCT,24
BM28 w/HMF/MCT/BP po,4
BM + 2HMF,3
BM33 with BP,29
BM+4cal prosobee,20
BM 4HMF,2
BMFSNG + 2 HMF,3
BMFSNG+ 4 HMF,3
BMFSNG + 4HMF,7
BMFSNG + 4HMF + MCT,44
BMFSPO + 2 HMF,8
BMFSPO+2HMF,2
BMFSPO+ 4 HMF,2
BMFSPO + HMF + MCT,1
BMFSPO+ Promod+ HMF,4
BM g-tube,1
BM+neocate4+MCT4,14
BM NG,17
BM (thick & easy) PG,63
BM (thick & easy) PO,76
BM + thick-it,6
BM via g-tube,7
BNP,2
BONE MARROW,77
BONE MARROW - CYTOGENETICS,372
Boundaries,435466
Bowel Sounds,1542133
BP Alarm [High],44042
BP Alarm [Low],45737
BP Cuff [Diastolic],147403
BP Cuff [Mean],148012
BP Cuff [Systolic],148089
BP Left Arm [Diastolic],1921
BP Left Arm [Mean],3746
BP Left Arm [Systolic],3762
BP Left Leg [Diastolic],1530
BP Left Leg [Mean],2047
BP Left Leg [Systolic],2052
BP Lt. leg Mean,1
BP PAL [Diastolic],12217
BP PAL [Mean],13412
BP PAL [Systolic],13380
BP Q8H,12
BP Right Arm [Diastolic],1514
BP Right Arm [Mean],2015
BP Right Arm [Systolic],2032
BP Right Leg [Diastolic],1520
BP Right Leg [Mean],2032
BP Right Leg [Systolic],2039
BP Rt. Arm Mean,1
BP Rt. Leg Mean,1
BP UAC [Diastolic],27261
BP UAC [Mean],27647
BP UAC [Systolic],27586
Brachial Pulse L,3142
Brachial Pulse [Left],1457
Brachial Pulse R,3186
Brachial Pulse [Right],1761
BRACHIAL S/D,86
Brachial Site,6
Brachial Site Appear,6
Brachial Site Dressi,6
Braden Activity,658504
Braden Friction/Shear,313424
Braden Frict/Shear,343355
Braden Mobility,658196
Braden Moisture,658647
Braden Nutrition,657916
Braden Score,342103
Braden SensoryPercep,343468
Braden Sensory Perception,314707
Brain Natiuretic Peptide (BNP),1141
Breast Assessment,21599
breast binder,43
BREAST BINDER,16
Breast Feeding,75
Breast Feeding - L,14
Breast Feeding - R,14
Breast Feed - L (Minutes),8
Breast Feed - R (Minutes),8
Breast milk,4
Breast Pump,7
Breath Rate,151486
Breath Sounds,1
Breath Sounds [L],443845
Breath Sounds [R],443894
Br Milk 24 NG,20
Broad Casts,25
Bronch,1
bronched,2
BRONCHIAL BRUSH,27
BRONCHIAL BRUSH - PROTECTED,19
BRONCHIAL WASHINGS,768
BRONCHOALVEOLAR LAVAGE,4458
broviac,121
Broviac dressing sie,184
broviac dsg,70
Broviac Dsg,130
Broviac Dsg:,100
BROVIAC DSG,152
Broviac dsg Change,53
broviac lt saphenou.,30
Broviac site,377
Broviac site/dsg,95
Bruising [Existence],199564
Bruising [Location],131579
bruit,24
Bruit/Thrill,37
Brush Teeth,106
BSA,41704
BSA - English,26809
BSA - Metric,26809
Bumetandime mg/hr,1
BUMEX MG/HR,158
bun,1
BUN,304467
BUN    (6-20),2138
BUN (6-20),195090
BUN_ApacheIV,8
BunScore_ApacheIV,8
bupivacaine,29
Bupivacaine,50
bupivacaine.1%-axila,40
bupivacaine.1%-pop,36
Burr Cells,8432
Butt Paste,20
C3,1290
C4,1352
CA-125,889
CABG Patient,7
caffeine,14
Caffeine,21721
caffeine bolus,42
caffeine Bolus,1
Caffeine bolus,29
Caffeine(bolus),1
Caffeine Bolus,18
CAFFEINE BOLUS,5
caffeine citrate,98
Caffeine Citrate,64
caffeine load,7
Caffeine load,1
CAFFEINE LOAD,3
Caffiene Bolus,1
caf load,1
Ca Glubionate,136
Ca Gluc 20Gm/D5W,26
CA GLUC GM/HR,177
ca gluc ml/hr,44
Ca++ Gluconate,324
CA GLUCONATE,2
CAGLUCONATE2GMS/L.,2
calciferol,30
Calciferol,83
Calcium,129955
Calcium (8.4-10.2),157554
Calcium   (8.8-10.8),1981
"Calcium, Body Fluid",9
Calcium Carbonate Crystals,7
Calcium Chloride,72
CALCIUM-DIALYSIS,13
Calcium for CVVH,2
calcium glubionate,32
Calcium glubionate,51
Calcium Glubionate,49
CALCIUM GLUC ML/HR,10
calcium gluconate,84
Calcium  gluconate,5
Calcium gluconate,138
Calcium Gluconate,135
CALCIUM GLUCONATE,66
Calcium non-ionized,134801
Calcium Oxalate Crystals,1420
Calcium Phosphate Crystals,20
"Calcium, Total",591932
"Calcium, Urine",887
"Calculated Bicarbonate, Whole Blood",9246
Calculated Free Testosterone,5
Calculated TBG,592
Calculated Thyroxine (T4) Index,584
Calculated Total CO2,490641
CALGLUCONATE20GMS/L,122
Calibrated (PiCCO),377
Called Out,7751
calprevflg,3464326
calTIBC  264-432,2
CAM-ICU Altered LOC,6112
CAM-ICU Disorganized thinking,16125
CAM-ICU Inattention,9942
CAM-ICU MS change,6455
CAM-ICU MS Change,37242
CAM-ICU RASS LOC,1102
CAMINO,195
Camino Bolt,18
Camino CPP,5
Camino Monitor,39
Cancer Antigen 27.29,551
Cannula Size,1962
Cannulas Visible,656
CaO2,79758
CAPD Output,2
cap gas,2
Cap gas,1
CAP GAS,2
Capillary Refill,440454
